parent_id,name,id,type,path,description,begin_from,begin_to,end_from,end_to,class,geometry,lon,lat,devill_endpoint,API_Endpoint
,Dernberg Castle,173247,Abandoned Fortification,Place > Military Facility > Fortification > Abandoned Fortification,"In 1208 Hadmar v. Kuenring donates the ""villa Ternberc"" to Zwettl Monastery. In 1285 a ""Witig von Ternberch"" appears in a Seefeld charter, the witnesses mostly coming from the South Moravian region. Bors sees the seat of this noble family in a farmstead in the ""Trenau"" parcel neighbouring the motte. In 1311 the monastery of Zwettl appears as the owner of several houses in Ternberg. A neighbouring village ""Chvgelveld bei Ternperig"", already mentioned in 1280 as ""Chugelvelde"", is mentioned in 1321 as a ""deserted village"". After the abandonment of the seat, the name Ternberg refers to the settlement directly west of the Hausberg. This is mentioned in 1457 as ""behaust"". The Seefeld share, which the monastery of Zwettl sold to the Hofkircher in 1535, is part of the Hft. Hardegg. At that time there were still 12 houses, and it was not until the 17th century that the village was moved to Haslach.
(Source: Imareal Burgen online; Text G.R., T.K., K.Kü.)",1200,1208,1300,1321,place,"{""type"":""Point"",""coordinates"":[16.177960343,48.617725578]}",48.617725578,16.177960343,https://devill.oegmn.or.at/entity/173247,https://thanados.openatlas.eu/api/entity/173247
,Irinspach,201377,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0830-10b Irinspach,,,,,place,,,,https://devill.oegmn.or.at/entity/201377,https://thanados.openatlas.eu/api/entity/201377
,Walrsperch,204790,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,1951-10b Walrsperch,,,,,place,,,,https://devill.oegmn.or.at/entity/204790,https://thanados.openatlas.eu/api/entity/204790
,Irmueldi,201379,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0831-10b Irmueldi
nicht lokalisiert
vielleicht Irmfeld",,,,,place,,,,https://devill.oegmn.or.at/entity/201379,https://thanados.openatlas.eu/api/entity/201379
,Irmvelde,201381,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0832-10b Irmvelde,,,,,place,,,,https://devill.oegmn.or.at/entity/201381,https://thanados.openatlas.eu/api/entity/201381
,Irnpoltinge,201383,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0833-10b Irnpoltinge,,,,,place,,,,https://devill.oegmn.or.at/entity/201383,https://thanados.openatlas.eu/api/entity/201383
,Isinhartsdorf,201385,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0834-10b Isinhartsdorf,,,,,place,,,,https://devill.oegmn.or.at/entity/201385,https://thanados.openatlas.eu/api/entity/201385
,Isinvurta,201387,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0835-10b Isinvurta,,,,,place,,,,https://devill.oegmn.or.at/entity/201387,https://thanados.openatlas.eu/api/entity/201387
,Iskerisdorf,201389,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0836-10b Iskerisdorf,,,,,place,,,,https://devill.oegmn.or.at/entity/201389,https://thanados.openatlas.eu/api/entity/201389
,Isowe,201391,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0837-10b Isowe,,,,,place,,,,https://devill.oegmn.or.at/entity/201391,https://thanados.openatlas.eu/api/entity/201391
