id,title,description_de,description_en,subjects,spatial,temporal,created,filetype,mimetype,rights,dataProvider,isShownAt,isShownBy,API_Endpoint
235324,0898-21b_landgraben b,"Datenerhebung N.N., Manuskripttext für FÖ 38 1999 Kurt Bors, Skizze 0898-21b_landgraben b_skz_01; von Kurt Bors (Archiv für Mittelalterarchäologie (AMA), digitale Version Jacqueline Huber/Nora Siegmeth.","Data acquisition by N.N, Manuscript for FÖ 38 1999 by Kurt Bors, Settlement sketch of 0898-21b_landgraben b_skz_01; by Kurt Bors (Archiv für Mittelalterarchäologie (AMA), digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Landgraben Nord* | Landgraben Süd*,,2024-08-30,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/235324.pdf,https://thanados.openatlas.eu/api/display/235324,https://thanados.openatlas.eu/api/entity/235324
222041,1148-10b_norcindorf_geschwärzt,Scan1148-10b_norcindorf_geschwärzt; Seitenanzahl: 34; Fragebogen Fritz Felgenhauer; Datenerhebung N.N. und Erwin Eminger; Text und Plan Margarete Strohschneider; digitale Version Jacqueline Huber/Nora Siegmeth,Scan1148-10b_norcindorf_geschwärzt; number of pages: 34; questionnaire by Fritz Felgenhauer; data acquisition by N.N. and Erwin Eminger; text and drawing by Margarete Strohschneider;data acquisition by N.N.; digital version by Jacqueline Huber/Nora Siegmeth,Wüstung | Abandoned Village | Abandoned Village | DeVill | High Middle Ages | Late Middle Ages | Older Excavation | Partial Excavation | Strayfinds | Survey | Written Sources | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Austria | Großebersdorf | Mistelbach | Niederösterreich | Norcindorf | Putzing,1100 | High Middle Ages | Late Middle Ages,2024-02-20,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/222041.pdf,https://thanados.openatlas.eu/api/display/222041,https://thanados.openatlas.eu/api/entity/222041
235849,2074-10b_wolfeswerde_ker_02,"Foto und Profilzeichnung Krug 2074-10b_wolfeswerde_ker_02, Jacqueline Huber/Nora Siegmeth.","foto and drawing jug 2074-10b_wolfeswerde_ker_02, by Jacqueline Huber/Nora Siegmeth.",Glimmer | Irdenware | Krug | Reduktionsbrand | schnell gedreht | steinchengemagert | Jug | earthenware | mica | stone-tempered | throwing | DeVill | Grey | Irdenware | Jug | Late Middle Ages | Rillendekor | glimmergemagert | reduzierend gebrannt | schnell gedreht | steinchengemagert | verstärkter Rand | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),2074-10b_wolfeswerde_ker_02,1300-1500 | Late Middle Ages,2024-09-03,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/235849.svg,https://thanados.openatlas.eu/api/display/235849,https://thanados.openatlas.eu/api/entity/235849
235846,2074-10b_wolfeswerde_ker_01,"Foto und Profilzeichnung Topf 2074-10b_wolfeswerde_ker_01, Jacqueline Huber/Nora Siegmeth.","foto and drawing pot 2074-10b_wolfeswerde_ker_01, by Jacqueline Huber/Nora Siegmeth.",Irdenware | Kremprand | Reduktionsbrand | Topf | schnell gedreht | steinchengemagert | Pot | earthenware | hooked rim | stone-tempered | throwing | DeVill | Grey | Irdenware | Kremprand | Late Middle Ages | Pot | reduzierend gebrannt | schnell gedreht | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),2074-10b_wolfeswerde_ker_01,1400-1500 | Late Middle Ages,2024-09-03,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/235846.svg,https://thanados.openatlas.eu/api/display/235846,https://thanados.openatlas.eu/api/entity/235846
206084,"Eminger, Wüstungen begangen von","In den 1970er Jahren verfasste Liste der von Erwin Eminger begangenen Wüstungen, aus der Korrespondenz Eminger - AMA (Archiv für Mittelalterarchäologie, ÖGM), teilweise geschwärzt; Text: N.N., Digitalisat: Gabriele Scharrer-Liska","List of the deserted villages visited by Erwin Eminger in the 1970s, taken from the correspondence of Eminger - AMA (Archiv für Mittelalterarchäologie, ÖGM), partially redacted; text by N.N., digital version by Gabriele Scharrer-Liska",Höhenlage | Lage am Fließgewässer | Lage im Quellgebiet eines Fließgewässers | Steinbruch | Tallage | Wüstung | Abandoned Village | Quarry | situated near streaming water | Abandoned Village | Acker | Archaeology | DeVill | Early Modern Age | High Middle Ages | Historical Maps | History | Höhenlage | Image Sources | Lage am Fließgewässer | Lage im Quellgebiet eines Fließgewässers | Late Middle Ages | Modern Excavation | Older Excavation | Partial Excavation | Steinbruch | Strayfinds | Survey | Systematic Survey | Tallage | Written Sources | Zeilendorf | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN) | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Auf dem Mühlratz FN | Austria | Bockfließ | Boreisdorph | Chapellen | Deutsch-Wagram | Dietreichsdorf | Gerasdorf | Großebersdorf | Großengersdorf | Gänserndorf | Hagenbrunn | Hornsburg | In den sieben Brünnen FN | In öden Eigen FN | Kapellerfeld | Klosterneuburg | Korneuburg | Kreuttal | Matzen | Matzen-Raggendorf | Mistelbach | Mühlradsberg FN | Niederösterreich | Norcindorf | Putzing | Reichental | Rizendorf | Schleinbach | Stallaren | Stallingerfeld | Ulrichskirchen | Ulrichskirchen-Schleinbach | Wendlingerhof | Wentling | Wien-Umgebung | Willradi,1000-1555 | 1100 | 1100-1500 | 1100-1500 | 1100-1550 | 1300-1499 | 1350-1530 | Early Modern Age | High Middle Ages | Late Middle Ages,2023-08-17,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/206084.pdf,https://thanados.openatlas.eu/api/display/206084,https://thanados.openatlas.eu/api/entity/206084
209931,0724-10b_hertweigsdorf_skz_01,"Skizze Kurt Bors, digitale Version Jacqueline Huber/Nora Siegmeth, Georeferenzierung Roland Filzwieser.","Sketch by Kurt Bors, digital version by Jacqueline Huber/Nora Siegmeth, rectification by Roland Filzwieser.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Austria | Götzles | Hertweigsdorf | Niederösterreich | Waidhofen an der Thaya,,2023-10-04,png,image/png,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/209931.png,https://thanados.openatlas.eu/api/display/209931,https://thanados.openatlas.eu/api/entity/209931
213249,1576-10b_Sawrlings,1576-10b_Sawrlings,,Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Sawrlings,,2023-11-17,png,image/png,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/213249.png,https://thanados.openatlas.eu/api/display/213249,https://thanados.openatlas.eu/api/entity/213249
234302,0663-10b_haslach,"Datenerhebung N.N., digitale Version Jacqueline Huber/Nora Siegmeth.","Data acquisition by N.N, digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Haslach,,2024-08-19,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/234302.pdf,https://thanados.openatlas.eu/api/display/234302,https://thanados.openatlas.eu/api/entity/234302
233458,0467-10b_ganandorf,"Datenerhebung N.N., digitale Version Jacqueline Huber/Nora Siegmeth.","Data acquisition by N.N, digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Ganandorf de,,2024-08-10,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/233458.pdf,https://thanados.openatlas.eu/api/display/233458,https://thanados.openatlas.eu/api/entity/233458
232519,2024-10b_wildhalmestorf,2024-10b_wildhalmestorf,,Wüstung | Abandoned Village | Abandoned Village | DeVill | High Middle Ages | Late Middle Ages | Strayfinds | Survey | Written Sources | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Austria | Niederösterreich | Raabs an der Thaya | Waidhofen an der Thaya | Wilhalmestorf | Wilhelmshof,1000-1500 | High Middle Ages | Late Middle Ages,2024-08-04,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/232519.pdf,https://thanados.openatlas.eu/api/display/232519,https://thanados.openatlas.eu/api/entity/232519
